,평점,일시,감상평
0,10,2020.02.12 20:55,왜 여성은 사랑을 해야하냐며 말하면서도 사랑을 받고 싶다고 외치던 장면이 너무나 울컥했다 ㅜ 조 꽃길만 걷길~
1,10,2020.02.12 09:02,재밌다고 느끼면 추천을 아니다 비추천
2,8,2020.02.12 13:12,철없는 막내로만 재현되어왔던 에이미 캐릭터의 재발견. 어쩌면 자매 중에서 제일 고민이 많고 영리했을 여성으로.
3,10,2020.02.12 13:27,“자매를 미워하기엔 인생이 너무 짧아.“ 라는 명대사가 내 마음 속에 강하게 들어왔다.
4,10,2020.02.12 21:18,"조가 여자의 전부가 사랑이라는 말이 지긋지긋하지만 너무 외롭다는 말이 공감이 간다. 무기력해지는 자신을 보며 슬퍼하는 걸 보니,나를 보는것 같아 더 슬펐다."
5,10,2020.02.12 11:58,영화를 보고 나니 조를 응원하는 내 자신을 발견했다. 잔잔한 감동과 재미가 있는 영화.
6,9,2020.02.12 13:19,'우리의 어린시절이 끝이났다니 믿겨지지 않아.'격렬하고도 잔잔한 따뜻했던 가족이야기.
7,10,2020.02.12 14:51,"13살 때 1995년도판 &lt;작은 아씨들&gt;을 보고 에이미를 네 자매 중 가장 미워했다. 에이미는 욕심많고 허영기 가득한 인물로 보였기 때문이다. 그런데 시간이 흘러 새로 각색한 &lt;작은 아씨들&gt;을 보니, 에이미가 얼마나 주체적이고 영리한 여성이었는지 새삼 깨닫게 된다. 지금은 2020년도다. 영화 속 조의 말처럼 자매와 싸우기에 인생은 너무 짧다. "
8,10,2020.02.12 17:10,"엠마왓슨 진짜 존예.. 영화 너무 사랑스럽고 이뻐요..,"
9,10,2020.02.12 21:04,"영화보다가 나도 모르게 계속 눈물이 나더라.조에 입혀진 나를 만나고, 아직 갈팡질팡한 나에게 조는 말해주는 것 같았어요"
10,8,2020.02.12 09:23,내가 영화를 사랑하는 이유
11,9,2020.02.14 23:53,내가 영화를 사랑하는 이유
12,10,2020.02.12 22:03,조를 보는 내내 응원했다. 조의 마지막 선택이 아쉽다.
13,10,2020.02.12 12:03,잔잔하지만 깊은 호수같은 영화
14,8,2020.02.12 11:42,그냥 티모씨 나올 때마다 심장 부여잡고 봤다.. 나만 마지막 에이미 빡쳐...?
15,10,2020.02.12 17:37,다 아는 내용인데 2020년을 사는 우리 이야기도 녹아 있다
16,8,2020.02.12 13:12,시간의 재배치로 고전을 새롭게 만든 그레타 거윅의 마술. 뛰어난 감독이 손을 대니 고전이 더욱 빛을 내는구나
17,10,2020.02.12 17:15,시얼샤로넌 연기 미쳤… 진짜 짱짱
18,10,2020.02.12 17:15,다들 왜이리 연기를 잘하는건가요..
19,10,2020.02.12 17:13,내 꿈이 네 꿈과 다르다고 해서 중요하지 않은 건 아니야
20,8,2020.02.12 23:06,"에이미가 조에게서 너무 많은 것들을 가져간 것 같음. 어떤 이는 에이미가 현실적이고 영리하다며 서포트 하겠지만 음 글쎄,, 나는 잘 모르겠다"
21,10,2020.02.12 14:10,조역할을 한 배우님 연가 되게 잘하시더라
22,10,2020.02.12 22:10,티모시가 조에게 고백하는 씬은 진짜 내가 심장아팠음..
23,8,2020.02.12 21:37,왜.. 한남자는 이여자 저여자를다 좋아 하는 건가....0
24,10,2020.02.12 11:44,"한 장면, 장면마다 가슴 벅찰 정도로 행복감을 주는 영화.보는 내내 웃고 울었다."
25,10,2020.02.14 00:43,보는내내 왜우는지 모르겠는데 펑펑울어서 당황했어요... ㅠㅠ
26,10,2020.02.13 20:15,아카데미에서 의상상 탔다더니 의상 진짜 이쁘..넋놓고 봤다 ㅎㅎ
27,10,2020.02.12 12:49,장면 하나하나가 모두 아름다운 영화다
28,10,2020.02.13 11:41,소설을 읽지 않아도 명작임을 느끼게 해준 영화
29,8,2020.02.12 11:25,"이건 고전의 새로운 해석도 아닌, 그렇다고 새로운 고전도 아닌, 그저 고전 그 자체. 영화가 시간의 흐름 대신 천성에서 비롯된 사건의 대칭성을 선택해 실수를 거듭하더라도 발전하는 우리를 보여줘서 좋았다"
30,10,2020.02.12 22:35,“여자들에게는 마음이 있고 영혼뿐 아니라 마음도 있습니다. 그리고 그들은 야망을 가지고 있으며 아름다움뿐만 아니라 재능도 가지고 있습니다. 나는 사랑이 단지 모든 여성에게 적합하다고 말하는 사람들이 너무 아파요. 너무 아파요 &#34; 이 말이 인상깊다 
31,10,2020.02.15 10:01,제일 강한척하지만 누구보다 착하고 여린 조
32,10,2020.02.13 17:09,장면 하나하나가 아름다운 영화. 작가 조이자 여성 조의 인생을 전반적으로 다루고 있으며 푸른 필터와 노란 필터로 연출함으로써 그 사이의 간극을 왔다갔다하고 있다. 영화의 따듯한 분위기에 흥겹게 취해 하루를 따스히 보냈던 것 같다. 그리고 당시 사회 경험이 부족하여 주로 여성작가들은 상상에만 의존한 글쓰기인 소설이나 자신의 이야기를 바탕으로 글을 쓸 수 밖에 없었다. 그런 모습이 영화에 잘 드러나 있는 것 같다. 자매의 끈끈한 우애와 중간중간 낭독해주는 문장이 가슴 한구석에 자리잡았다. 
33,6,2020.02.13 15:20,도저히 조와 테디 결말이 이해가 안간다..
34,8,2020.02.13 23:04,로리가 잘생겨서 더 재수없네요
35,10,2020.02.12 13:02,영화보는데 진짜 눈물이 나옴 ㅠ 너무 재밌다 진짜 티모시 연기력 짱 다른배우분들도 연기 진짜 짱임
36,10,2020.02.13 12:03,솔직히 로리랑 에이미랑 되는걸 알고 있었지만 보면서 아 조랑 로리랑 되면 좋겠다 했다.역시 사랑의 타이밍이다
37,10,2020.02.12 10:05,2020년 최고의 영화
